<t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><s>ALTER TABLE Entertainment ADD COLUMN rating DECIMAL(3,1)</s>
<t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><s>alter table entertainment add column rating decimal(3,1)</s>
<t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><s>ALTER TABLE Entertainment MODIFY COLUMN genre VARCHAR(100)</s>
<t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><s>alter table entertainment modify column genre varchar(100)</s>
<t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><s>ALTER TABLE Entertainment DROP COLUMN release_date</s>
<t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><s>alter table entertainment drop column release_date</s>
<t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><s>ALTER TABLE movies ADD COLUMN director VARCHAR(255);</s>
<t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><s>alter table movies add column director varchar(255);</s>
<t>CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));

CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><s>ALTER TABLE movies ADD COLUMN director VARCHAR(255);</s>
<t>CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));

CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><s>alter table movies add column director varchar(255);</s>
<t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><s>ALTER TABLE actors ADD COLUMN nationality VARCHAR(100);</s>
<t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><s>alter table actors add column nationality varchar(100);</s>
<t>CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));

CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><s>ALTER TABLE actors ADD COLUMN nationality VARCHAR(100);</s>
<t>CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));

CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><s>alter table actors add column nationality varchar(100);</s>
<t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><s>ALTER TABLE movies MODIFY COLUMN genre VARCHAR(150);</s>
<t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><s>alter table movies modify column genre varchar(150);</s>
<t>CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));

CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><s>ALTER TABLE movies MODIFY COLUMN genre VARCHAR(150);</s>
<t>CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));

CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><s>alter table movies modify column genre varchar(150);</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>ALTER TABLE Movies ADD COLUMN director STRING</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>alter table movies add column director string</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>ALTER TABLE Movies ADD COLUMN director STRING</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>alter table movies add column director string</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>ALTER TABLE Movies ADD COLUMN director STRING</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>alter table movies add column director string</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>ALTER TABLE Movies ADD COLUMN director STRING</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>alter table movies add column director string</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>ALTER TABLE Movies ADD COLUMN director STRING</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>alter table movies add column director string</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>ALTER TABLE Movies ADD COLUMN director STRING</s>
<t>CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>alter table movies add column director string</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>ALTER TABLE TVShows ADD COLUMN season INT</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>alter table tvshows add column season int</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>ALTER TABLE TVShows ADD COLUMN season INT</s>
<t>CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)

CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)</t><s>alter table tvshows add column season int</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Actors (id INT PRIMARY KEY, name STRING, age INT, gender STRING)</t><s>ALTER TABLE TVShows ADD COLUMN season INT</s>
<t>CREATE TABLE TVShows (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

CREATE TABLE Movies (id INT PRIMARY KEY, title STRING, genre STRING, release_year INT)

