<t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>SELECT * FROM Entertainment;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>select * from entertainment;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>SELECT title, genre FROM Entertainment;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>select title, genre from entertainment;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>SELECT title, release_date FROM Entertainment;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>select title, release_date from entertainment;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>SELECT * FROM Entertainment WHERE genre = 'Comedy';</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>select * from entertainment where genre = 'comedy';</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>SELECT * FROM Entertainment WHERE release_date > '2022-01-01';</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>select * from entertainment where release_date > '2022-01-01';</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>SELECT title, genre FROM Entertainment WHERE genre = 'Drama';</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>select title, genre from entertainment where genre = 'drama';</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>SELECT * FROM Entertainment WHERE genre = 'Action' AND release_date < '2021-01-01';</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>select * from entertainment where genre = 'action' and release_date < '2021-01-01';</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>SELECT * FROM Entertainment WHERE title LIKE '%Star%';</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>select * from entertainment where title like '%star%';</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>SELECT * FROM Entertainment ORDER BY release_date DESC;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>select * from entertainment order by release_date desc;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>SELECT COUNT(*) FROM Entertainment;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>select count(*) from entertainment;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>SELECT AVG(id) FROM Entertainment;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>select avg(id) from entertainment;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>SELECT MAX(release_date) FROM Entertainment;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>select max(release_date) from entertainment;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>SELECT MIN(id) FROM Entertainment;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>select min(id) from entertainment;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>SELECT title, YEAR(release_date) AS year FROM Entertainment;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>select title, year(release_date) as year from entertainment;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>SELECT genre, COUNT(*) FROM Entertainment GROUP BY genre;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>select genre, count(*) from entertainment group by genre;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>SELECT genre, AVG(id) FROM Entertainment GROUP BY genre;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>select genre, avg(id) from entertainment group by genre;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>SELECT DISTINCT genre FROM Entertainment;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>select distinct genre from entertainment;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>SELECT * FROM Entertainment LIMIT 10;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>select * from entertainment limit 10;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>SELECT * FROM Entertainment OFFSET 5;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>select * from entertainment offset 5;</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>SELECT * FROM Entertainment WHERE genre IN ('Comedy', 'Drama');</stat><divider><t>CREATE TABLE Entertainment (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(50), release_date DATE)</t><stat>select * from entertainment where genre in ('comedy', 'drama');</stat><divider><t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><stat>SELECT * FROM movies;</stat><divider><t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><stat>select * from movies;</stat><divider><t>CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));

CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><stat>SELECT * FROM movies;</stat><divider><t>CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));

CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><stat>select * from movies;</stat><divider><t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><stat>SELECT title, genre FROM movies;</stat><divider><t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><stat>select title, genre from movies;</stat><divider><t>CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));

CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><stat>SELECT title, genre FROM movies;</stat><divider><t>CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));

CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><stat>select title, genre from movies;</stat><divider><t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><stat>SELECT id, title, genre, release_year FROM movies;</stat><divider><t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><stat>select id, title, genre, release_year from movies;</stat><divider><t>CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));

CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><stat>SELECT id, title, genre, release_year FROM movies;</stat><divider><t>CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));

CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><stat>select id, title, genre, release_year from movies;</stat><divider><t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><stat>SELECT * FROM actors;</stat><divider><t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><stat>select * from actors;</stat><divider><t>CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));

CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><stat>SELECT * FROM actors;</stat><divider><t>CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));

CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><stat>select * from actors;</stat><divider><t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><stat>SELECT name, age FROM actors;</stat><divider><t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><stat>select name, age from actors;</stat><divider><t>CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));

CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><stat>SELECT name, age FROM actors;</stat><divider><t>CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));

CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><stat>select name, age from actors;</stat><divider><t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><stat>SELECT id, name, age, gender FROM actors;</stat><divider><t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><stat>select id, name, age, gender from actors;</stat><divider><t>CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));

CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><stat>SELECT id, name, age, gender FROM actors;</stat><divider><t>CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));

CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><stat>select id, name, age, gender from actors;</stat><divider><t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><stat>SELECT m.title, m.release_year, a.name FROM movies m JOIN actors a ON m.id = a.id;</stat><divider><t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><stat>select m.title, m.release_year, a.name from movies m join actors a on m.id = a.id;</stat><divider><t>CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));

CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><stat>SELECT m.title, m.release_year, a.name FROM movies m JOIN actors a ON m.id = a.id;</stat><divider><t>CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));

CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);</t><stat>select m.title, m.release_year, a.name from movies m join actors a on m.id = a.id;</stat><divider><t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

CREATE TABLE actors (id INT PRIMARY KEY, name VARCHAR(255), age INT, gender VARCHAR(10));</t><stat>SELECT m.title, m.genre, a.name, a.age FROM movies m JOIN actors a ON m.genre = a.gender;</stat><divider><t>CREATE TABLE movies (id INT PRIMARY KEY, title VARCHAR(255), genre VARCHAR(100), release_year INT);

