<t>CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)</t><s>DELETE FROM Project WHERE project_id = 1;</s>
<t>CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)</t><s>delete from project where project_id = 1;</s>
<t>CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)</t><s>DELETE FROM Project WHERE project_id = 1;</s>
<t>CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)</t><s>delete from project where project_id = 1;</s>
<t>CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)

CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)</t><s>DELETE FROM Project WHERE project_id = 1;</s>
<t>CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)

CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)</t><s>delete from project where project_id = 1;</s>
<t>CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)

CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)</t><s>DELETE FROM Project WHERE project_id = 1;</s>
<t>CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)

CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)</t><s>delete from project where project_id = 1;</s>
<t>CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)

CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)</t><s>DELETE FROM Project WHERE project_id = 1;</s>
<t>CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)

CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)</t><s>delete from project where project_id = 1;</s>
<t>CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)

CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)</t><s>DELETE FROM Project WHERE project_id = 1;</s>
<t>CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)

CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)</t><s>delete from project where project_id = 1;</s>
<t>CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)</t><s>DELETE FROM Contractor WHERE contractor_id = 2;</s>
<t>CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)</t><s>delete from contractor where contractor_id = 2;</s>
<t>CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)</t><s>DELETE FROM Contractor WHERE contractor_id = 2;</s>
<t>CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)

