<t>CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)</t><s>GRANT SELECT ON Project TO user1</s>
<t>CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)</t><s>grant select on project to user1</s>
<t>CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)</t><s>GRANT SELECT ON Project TO user1</s>
<t>CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)</t><s>grant select on project to user1</s>
<t>CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)

CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)</t><s>GRANT SELECT ON Project TO user1</s>
<t>CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)

CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)</t><s>grant select on project to user1</s>
<t>CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)

CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)</t><s>GRANT SELECT ON Project TO user1</s>
<t>CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)

CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)</t><s>grant select on project to user1</s>
<t>CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)

CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)</t><s>GRANT SELECT ON Project TO user1</s>
<t>CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)

CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)</t><s>grant select on project to user1</s>
<t>CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)

CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)</t><s>GRANT SELECT ON Project TO user1</s>
<t>CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)

CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)</t><s>grant select on project to user1</s>
<t>CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)</t><s>GRANT INSERT ON Contractor TO user2</s>
<t>CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)</t><s>grant insert on contractor to user2</s>
<t>CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)</t><s>GRANT INSERT ON Contractor TO user2</s>
<t>CREATE TABLE Project (project_id INT PRIMARY KEY, project_name VARCHAR(255) NOT NULL, project_location VARCHAR(255) NOT NULL)

CREATE TABLE Task (task_id INT PRIMARY KEY, task_name VARCHAR(255) NOT NULL, task_description TEXT)

CREATE TABLE Contractor (contractor_id INT PRIMARY KEY, contractor_name VARCHAR(255) NOT NULL, contractor_license VARCHAR(50) NOT NULL)</t><s>grant insert on contractor to user2</s>
