<t>CREATE TABLE games (game_id INT PRIMARY KEY, game_name STRING, release_year INT, genre STRING)</t><s>ALTER TABLE games ADD COLUMN platform STRING</s>
<t>CREATE TABLE games (game_id INT PRIMARY KEY, game_name STRING, release_year INT, genre STRING)</t><s>alter table games add column platform string</s>
<t>CREATE TABLE games (game_id INT PRIMARY KEY, game_name STRING, release_year INT, genre STRING)</t><s>ALTER TABLE games MODIFY COLUMN release_year YEAR</s>
<t>CREATE TABLE games (game_id INT PRIMARY KEY, game_name STRING, release_year INT, genre STRING)</t><s>alter table games modify column release_year year</s>
<t>CREATE TABLE games (game_id INT PRIMARY KEY, game_name STRING, release_year INT, genre STRING)</t><s>ALTER TABLE games DROP COLUMN genre</s>
<t>CREATE TABLE games (game_id INT PRIMARY KEY, game_name STRING, release_year INT, genre STRING)</t><s>alter table games drop column genre</s>
<t>CREATE TABLE players ( player_id INT PRIMARY KEY, player_name VARCHAR(50) NOT NULL, player_level INT NOT NULL )

CREATE TABLE games ( game_id INT PRIMARY KEY, game_name VARCHAR(50) NOT NULL, game_genre VARCHAR(50) NOT NULL, release_year INT NOT NULL )</t><s>ALTER TABLE players ADD COLUMN player_score INT NOT NULL</s>
<t>CREATE TABLE players ( player_id INT PRIMARY KEY, player_name VARCHAR(50) NOT NULL, player_level INT NOT NULL )

CREATE TABLE games ( game_id INT PRIMARY KEY, game_name VARCHAR(50) NOT NULL, game_genre VARCHAR(50) NOT NULL, release_year INT NOT NULL )</t><s>alter table players add column player_score int not null</s>
<t>CREATE TABLE games ( game_id INT PRIMARY KEY, game_name VARCHAR(50) NOT NULL, game_genre VARCHAR(50) NOT NULL, release_year INT NOT NULL )

CREATE TABLE players ( player_id INT PRIMARY KEY, player_name VARCHAR(50) NOT NULL, player_level INT NOT NULL )</t><s>ALTER TABLE players ADD COLUMN player_score INT NOT NULL</s>
<t>CREATE TABLE games ( game_id INT PRIMARY KEY, game_name VARCHAR(50) NOT NULL, game_genre VARCHAR(50) NOT NULL, release_year INT NOT NULL )

CREATE TABLE players ( player_id INT PRIMARY KEY, player_name VARCHAR(50) NOT NULL, player_level INT NOT NULL )</t><s>alter table players add column player_score int not null</s>
<t>CREATE TABLE players ( player_id INT PRIMARY KEY, player_name VARCHAR(50) NOT NULL, player_level INT NOT NULL )

CREATE TABLE games ( game_id INT PRIMARY KEY, game_name VARCHAR(50) NOT NULL, game_genre VARCHAR(50) NOT NULL, release_year INT NOT NULL )</t><s>ALTER TABLE games ADD COLUMN rating DECIMAL(3,2)</s>
<t>CREATE TABLE players ( player_id INT PRIMARY KEY, player_name VARCHAR(50) NOT NULL, player_level INT NOT NULL )

CREATE TABLE games ( game_id INT PRIMARY KEY, game_name VARCHAR(50) NOT NULL, game_genre VARCHAR(50) NOT NULL, release_year INT NOT NULL )</t><s>alter table games add column rating decimal(3,2)</s>
<t>CREATE TABLE games ( game_id INT PRIMARY KEY, game_name VARCHAR(50) NOT NULL, game_genre VARCHAR(50) NOT NULL, release_year INT NOT NULL )

CREATE TABLE players ( player_id INT PRIMARY KEY, player_name VARCHAR(50) NOT NULL, player_level INT NOT NULL )</t><s>ALTER TABLE games ADD COLUMN rating DECIMAL(3,2)</s>
<t>CREATE TABLE games ( game_id INT PRIMARY KEY, game_name VARCHAR(50) NOT NULL, game_genre VARCHAR(50) NOT NULL, release_year INT NOT NULL )

CREATE TABLE players ( player_id INT PRIMARY KEY, player_name VARCHAR(50) NOT NULL, player_level INT NOT NULL )</t><s>alter table games add column rating decimal(3,2)</s>
<t>CREATE TABLE players ( player_id INT PRIMARY KEY, player_name VARCHAR(50) NOT NULL, player_level INT NOT NULL )

CREATE TABLE games ( game_id INT PRIMARY KEY, game_name VARCHAR(50) NOT NULL, game_genre VARCHAR(50) NOT NULL, release_year INT NOT NULL )</t><s>ALTER TABLE players ADD CONSTRAINT fk_game FOREIGN KEY (game_id) REFERENCES games(game_id)</s>
<t>CREATE TABLE players ( player_id INT PRIMARY KEY, player_name VARCHAR(50) NOT NULL, player_level INT NOT NULL )

CREATE TABLE games ( game_id INT PRIMARY KEY, game_name VARCHAR(50) NOT NULL, game_genre VARCHAR(50) NOT NULL, release_year INT NOT NULL )</t><s>alter table players add constraint fk_game foreign key (game_id) references games(game_id)</s>
<t>CREATE TABLE games ( game_id INT PRIMARY KEY, game_name VARCHAR(50) NOT NULL, game_genre VARCHAR(50) NOT NULL, release_year INT NOT NULL )

CREATE TABLE players ( player_id INT PRIMARY KEY, player_name VARCHAR(50) NOT NULL, player_level INT NOT NULL )</t><s>ALTER TABLE players ADD CONSTRAINT fk_game FOREIGN KEY (game_id) REFERENCES games(game_id)</s>
<t>CREATE TABLE games ( game_id INT PRIMARY KEY, game_name VARCHAR(50) NOT NULL, game_genre VARCHAR(50) NOT NULL, release_year INT NOT NULL )

CREATE TABLE players ( player_id INT PRIMARY KEY, player_name VARCHAR(50) NOT NULL, player_level INT NOT NULL )</t><s>alter table players add constraint fk_game foreign key (game_id) references games(game_id)</s>
<t>CREATE TABLE players ( player_id INT PRIMARY KEY, player_name STRING, level INT );

CREATE TABLE games ( game_id INT PRIMARY KEY, game_name STRING, release_date DATE, genre STRING );

CREATE TABLE scores ( score_id INT PRIMARY KEY, player_id INT, game_id INT, score INT, FOREIGN KEY (player_id) REFERENCES players(player_id), FOREIGN KEY (game_id) REFERENCES games(game_id) );</t><s>ALTER TABLE players ADD COLUMN email STRING</s>
<t>CREATE TABLE players ( player_id INT PRIMARY KEY, player_name STRING, level INT );

CREATE TABLE games ( game_id INT PRIMARY KEY, game_name STRING, release_date DATE, genre STRING );

CREATE TABLE scores ( score_id INT PRIMARY KEY, player_id INT, game_id INT, score INT, FOREIGN KEY (player_id) REFERENCES players(player_id), FOREIGN KEY (game_id) REFERENCES games(game_id) );</t><s>alter table players add column email string</s>
<t>CREATE TABLE players ( player_id INT PRIMARY KEY, player_name STRING, level INT );

CREATE TABLE scores ( score_id INT PRIMARY KEY, player_id INT, game_id INT, score INT, FOREIGN KEY (player_id) REFERENCES players(player_id), FOREIGN KEY (game_id) REFERENCES games(game_id) );

CREATE TABLE games ( game_id INT PRIMARY KEY, game_name STRING, release_date DATE, genre STRING );</t><s>ALTER TABLE players ADD COLUMN email STRING</s>
<t>CREATE TABLE players ( player_id INT PRIMARY KEY, player_name STRING, level INT );

CREATE TABLE scores ( score_id INT PRIMARY KEY, player_id INT, game_id INT, score INT, FOREIGN KEY (player_id) REFERENCES players(player_id), FOREIGN KEY (game_id) REFERENCES games(game_id) );

CREATE TABLE games ( game_id INT PRIMARY KEY, game_name STRING, release_date DATE, genre STRING );</t><s>alter table players add column email string</s>
<t>CREATE TABLE games ( game_id INT PRIMARY KEY, game_name STRING, release_date DATE, genre STRING );

CREATE TABLE players ( player_id INT PRIMARY KEY, player_name STRING, level INT );

CREATE TABLE scores ( score_id INT PRIMARY KEY, player_id INT, game_id INT, score INT, FOREIGN KEY (player_id) REFERENCES players(player_id), FOREIGN KEY (game_id) REFERENCES games(game_id) );</t><s>ALTER TABLE players ADD COLUMN email STRING</s>
<t>CREATE TABLE games ( game_id INT PRIMARY KEY, game_name STRING, release_date DATE, genre STRING );

CREATE TABLE players ( player_id INT PRIMARY KEY, player_name STRING, level INT );

CREATE TABLE scores ( score_id INT PRIMARY KEY, player_id INT, game_id INT, score INT, FOREIGN KEY (player_id) REFERENCES players(player_id), FOREIGN KEY (game_id) REFERENCES games(game_id) );</t><s>alter table players add column email string</s>
<t>CREATE TABLE games ( game_id INT PRIMARY KEY, game_name STRING, release_date DATE, genre STRING );

CREATE TABLE scores ( score_id INT PRIMARY KEY, player_id INT, game_id INT, score INT, FOREIGN KEY (player_id) REFERENCES players(player_id), FOREIGN KEY (game_id) REFERENCES games(game_id) );

CREATE TABLE players ( player_id INT PRIMARY KEY, player_name STRING, level INT );</t><s>ALTER TABLE players ADD COLUMN email STRING</s>
<t>CREATE TABLE games ( game_id INT PRIMARY KEY, game_name STRING, release_date DATE, genre STRING );

CREATE TABLE scores ( score_id INT PRIMARY KEY, player_id INT, game_id INT, score INT, FOREIGN KEY (player_id) REFERENCES players(player_id), FOREIGN KEY (game_id) REFERENCES games(game_id) );

CREATE TABLE players ( player_id INT PRIMARY KEY, player_name STRING, level INT );</t><s>alter table players add column email string</s>
<t>CREATE TABLE scores ( score_id INT PRIMARY KEY, player_id INT, game_id INT, score INT, FOREIGN KEY (player_id) REFERENCES players(player_id), FOREIGN KEY (game_id) REFERENCES games(game_id) );

CREATE TABLE players ( player_id INT PRIMARY KEY, player_name STRING, level INT );

CREATE TABLE games ( game_id INT PRIMARY KEY, game_name STRING, release_date DATE, genre STRING );</t><s>ALTER TABLE players ADD COLUMN email STRING</s>
<t>CREATE TABLE scores ( score_id INT PRIMARY KEY, player_id INT, game_id INT, score INT, FOREIGN KEY (player_id) REFERENCES players(player_id), FOREIGN KEY (game_id) REFERENCES games(game_id) );

CREATE TABLE players ( player_id INT PRIMARY KEY, player_name STRING, level INT );

CREATE TABLE games ( game_id INT PRIMARY KEY, game_name STRING, release_date DATE, genre STRING );</t><s>alter table players add column email string</s>
<t>CREATE TABLE scores ( score_id INT PRIMARY KEY, player_id INT, game_id INT, score INT, FOREIGN KEY (player_id) REFERENCES players(player_id), FOREIGN KEY (game_id) REFERENCES games(game_id) );

CREATE TABLE games ( game_id INT PRIMARY KEY, game_name STRING, release_date DATE, genre STRING );

CREATE TABLE players ( player_id INT PRIMARY KEY, player_name STRING, level INT );</t><s>ALTER TABLE players ADD COLUMN email STRING</s>
<t>CREATE TABLE scores ( score_id INT PRIMARY KEY, player_id INT, game_id INT, score INT, FOREIGN KEY (player_id) REFERENCES players(player_id), FOREIGN KEY (game_id) REFERENCES games(game_id) );

CREATE TABLE games ( game_id INT PRIMARY KEY, game_name STRING, release_date DATE, genre STRING );

CREATE TABLE players ( player_id INT PRIMARY KEY, player_name STRING, level INT );</t><s>alter table players add column email string</s>
<t>CREATE TABLE players ( player_id INT PRIMARY KEY, player_name STRING, level INT );

CREATE TABLE games ( game_id INT PRIMARY KEY, game_name STRING, release_date DATE, genre STRING );

