<t>CREATE TABLE Robotics {
  robot_id UUID PRIMARY KEY,
  robot_name STRING NOT NULL,
  manufacturer STRING,
  year_of_manufacture INT
}</t><s>DROP TABLE IF EXISTS Robotics</s>
<t>CREATE TABLE Robotics {
  robot_id UUID PRIMARY KEY,
  robot_name STRING NOT NULL,
  manufacturer STRING,
  year_of_manufacture INT
}</t><s>drop table if exists robotics</s>
<t>CREATE TABLE Robot (id UUID PRIMARY KEY, name STRING, manufacturer STRING, year INT, price FLOAT);

CREATE TABLE RobotPart (id UUID PRIMARY KEY, name STRING, manufacturer STRING, type STRING);</t><s>DROP TABLE IF EXISTS RobotPart;</s>
<t>CREATE TABLE Robot (id UUID PRIMARY KEY, name STRING, manufacturer STRING, year INT, price FLOAT);

CREATE TABLE RobotPart (id UUID PRIMARY KEY, name STRING, manufacturer STRING, type STRING);</t><s>drop table if exists robotpart;</s>
<t>CREATE TABLE RobotPart (id UUID PRIMARY KEY, name STRING, manufacturer STRING, type STRING);

CREATE TABLE Robot (id UUID PRIMARY KEY, name STRING, manufacturer STRING, year INT, price FLOAT);</t><s>DROP TABLE IF EXISTS RobotPart;</s>
<t>CREATE TABLE RobotPart (id UUID PRIMARY KEY, name STRING, manufacturer STRING, type STRING);

CREATE TABLE Robot (id UUID PRIMARY KEY, name STRING, manufacturer STRING, year INT, price FLOAT);</t><s>drop table if exists robotpart;</s>
<t>CREATE TABLE Robot (id UUID PRIMARY KEY, name STRING, manufacturer STRING, year INT, price FLOAT);

CREATE TABLE RobotPart (id UUID PRIMARY KEY, name STRING, manufacturer STRING, type STRING);</t><s>DROP TABLE IF EXISTS Robot;</s>
<t>CREATE TABLE Robot (id UUID PRIMARY KEY, name STRING, manufacturer STRING, year INT, price FLOAT);

CREATE TABLE RobotPart (id UUID PRIMARY KEY, name STRING, manufacturer STRING, type STRING);</t><s>drop table if exists robot;</s>
<t>CREATE TABLE RobotPart (id UUID PRIMARY KEY, name STRING, manufacturer STRING, type STRING);

