<t>CREATE TABLE education_data (id INT PRIMARY KEY, student_name TEXT, age INT, grade TEXT)</t><s>DROP TABLE IF EXISTS education_data</s>
<t>CREATE TABLE education_data (id INT PRIMARY KEY, student_name TEXT, age INT, grade TEXT)</t><s>drop table if exists education_data</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(255), grade_level INT);

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(255), credit_hours INT, teacher_id INT);</t><s>DROP TABLE students;</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(255), grade_level INT);

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(255), credit_hours INT, teacher_id INT);</t><s>drop table students;</s>
<t>CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(255), credit_hours INT, teacher_id INT);

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(255), grade_level INT);</t><s>DROP TABLE students;</s>
<t>CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(255), credit_hours INT, teacher_id INT);

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(255), grade_level INT);</t><s>drop table students;</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(255), grade_level INT);

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(255), credit_hours INT, teacher_id INT);</t><s>DROP TABLE courses;</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(255), grade_level INT);

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(255), credit_hours INT, teacher_id INT);</t><s>drop table courses;</s>
<t>CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(255), credit_hours INT, teacher_id INT);

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(255), grade_level INT);</t><s>DROP TABLE courses;</s>
<t>CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(255), credit_hours INT, teacher_id INT);

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(255), grade_level INT);</t><s>drop table courses;</s>
<t>CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));</t><s>DROP TABLE Enrollments;</s>
<t>CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));</t><s>drop table enrollments;</s>
<t>CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));</t><s>DROP TABLE Enrollments;</s>
<t>CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));</t><s>drop table enrollments;</s>
<t>CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));</t><s>DROP TABLE Enrollments;</s>
<t>CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

