<t>CREATE TABLE education_data (id INT PRIMARY KEY, student_name TEXT, age INT, grade TEXT)</t><s>TRUNCATE TABLE education_data;</s>
<t>CREATE TABLE education_data (id INT PRIMARY KEY, student_name TEXT, age INT, grade TEXT)</t><s>truncate table education_data;</s>
<t>CREATE TABLE education_data (id INT PRIMARY KEY, student_name TEXT, age INT, grade TEXT)</t><s>TRUNCATE TABLE education_data RESTART IDENTITY;</s>
<t>CREATE TABLE education_data (id INT PRIMARY KEY, student_name TEXT, age INT, grade TEXT)</t><s>truncate table education_data restart identity;</s>
<t>CREATE TABLE education_data (id INT PRIMARY KEY, student_name TEXT, age INT, grade TEXT)</t><s>TRUNCATE TABLE IF EXISTS education_data;</s>
<t>CREATE TABLE education_data (id INT PRIMARY KEY, student_name TEXT, age INT, grade TEXT)</t><s>truncate table if exists education_data;</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(255), grade_level INT);

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(255), credit_hours INT, teacher_id INT);</t><s>TRUNCATE TABLE students;</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(255), grade_level INT);

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(255), credit_hours INT, teacher_id INT);</t><s>truncate table students;</s>
<t>CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(255), credit_hours INT, teacher_id INT);

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(255), grade_level INT);</t><s>TRUNCATE TABLE students;</s>
<t>CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(255), credit_hours INT, teacher_id INT);

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(255), grade_level INT);</t><s>truncate table students;</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(255), grade_level INT);

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(255), credit_hours INT, teacher_id INT);</t><s>TRUNCATE TABLE courses;</s>
<t>CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(255), grade_level INT);

CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(255), credit_hours INT, teacher_id INT);</t><s>truncate table courses;</s>
<t>CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(255), credit_hours INT, teacher_id INT);

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(255), grade_level INT);</t><s>TRUNCATE TABLE courses;</s>
<t>CREATE TABLE courses (course_id INT PRIMARY KEY, course_name VARCHAR(255), credit_hours INT, teacher_id INT);

CREATE TABLE students (student_id INT PRIMARY KEY, student_name VARCHAR(255), grade_level INT);</t><s>truncate table courses;</s>
<t>CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));</t><s>TRUNCATE TABLE Courses;</s>
<t>CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));</t><s>truncate table courses;</s>
<t>CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));</t><s>TRUNCATE TABLE Courses;</s>
<t>CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));</t><s>truncate table courses;</s>
<t>CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));</t><s>TRUNCATE TABLE Courses;</s>
<t>CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));</t><s>truncate table courses;</s>
<t>CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);</t><s>TRUNCATE TABLE Courses;</s>
<t>CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);</t><s>truncate table courses;</s>
<t>CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));</t><s>TRUNCATE TABLE Courses;</s>
<t>CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));</t><s>truncate table courses;</s>
<t>CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);</t><s>TRUNCATE TABLE Courses;</s>
<t>CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);</t><s>truncate table courses;</s>
<t>CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));</t><s>TRUNCATE TABLE Students;</s>
<t>CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

CREATE TABLE Students (student_id INT PRIMARY KEY, student_name STRING, course_id INT REFERENCES Courses(course_id));

CREATE TABLE Enrollments (enrollment_id INT PRIMARY KEY, student_id INT REFERENCES Students(student_id), course_id INT REFERENCES Courses(course_id));</t><s>truncate table students;</s>
<t>CREATE TABLE Courses (course_id INT PRIMARY KEY, course_name STRING, instructor_name STRING);

